TBI (n),HC (n),WITHIN NETWORK FINDINGS,RESULT,TBI Class,Severity,Age,Chronicity,Comp Type,Control Type,Scanner,Eyes Open/Closed/Fixated,Scanning parameters (TR),OLD TIME OF SCAN,Duration of scan (s),# of volumes,Preprocessing Software,Global signal regression,Motion regression,White matter regression,CSF regression,,,,,,,,,,,,
15,15,"Clough (2018), Victoria, AUS",No signficant differences within DMN,SPORTS asymptomatic amateur Australian rules footballers with a history of sports-related concussion (SRC),Mild,"ADULT n=15, age=24.3 ± 0.9, 15 males",Chronic (greater than 6 months and asymptomatic),CSX,NCC no contact sport control n=15,3T Magnetom Prisma,closed,2500 ms,455 s,455,182,FSL,no,yes,yes,yes,eyes closed; 7 min 35 sec,"FSL package and included skull stripping (Brain Extraction Tool), interleaved slice timing correction and motion correction (MCFLIRT algorithm), spatial smoothing (6mm full width at half maximum), and temporal high-pass filtering (>0.01 Hz) to eliminate low-frequency artifacts",In house pipeline,Connectivity,ROItoROI,"40 cortical regions related to seven resting-state networks (RSNs): visual, somatomotor, dorsal attention, ventral attention, limbic, frontal-parietal, and default mode","There were no significant group differences on functional connectivity, computed from rs-fMRI-derived BOLD signals, for all seven networks (p > 0.05; Table 3).",Oculomotor Cognitive Control Abnormalities,,,,HH
37,20,"Plourde (2020) Calgary, Canada",Decreased  FC in anterior DMN compared to control (OI group),CIVILIAN children and adolescents,Mild,"MIXED 8-19 years old, Pone concussion n = 16; multiple concussions n = 21( M = 3.2 concussions, SD = 1.7)",Chronic (>6 months),csx,OTHER (ORTHOPEDIC INJURY CONTROL) orthopedic injury [OI] n = 20,"GE Discovery MR750w 3.0 T MR scanner (GE Healthcare, Milwaukee, WI)",fixated,2000 ms,unfound,unfound,unfound,FMRIB,yes,yes,yes,yes,"5.1 min, eyes open (fixed on black cross)","The pipeline in FSL FEAT (Smith et al., 2004) included minimal filtering (2,000 ms), MCFLIRT motion correction, bet brain extraction, interleaved slice timing correction, and spatial smoothing (4 mm Gaussian kernel full width at half maximum). Procedures to mitigate head motion were next performed and are described in more detail in the next section. Finally, each participant’s anatomical and functional images were co-registered to the standard space MNI152 T1 2mm brain template. Head motion section is super long.",FMRIB/FSL,FC,ICA,Anterior + Posterior DMN,"On average, 32 months post-injury, the group with multiple concussions demonstrated significantly lower FC in the anterior DMN compared to the other two groups, but no significant FC differences in the posterior DMN. In addition, no significant correlations were found between anterior DMN FC and post-concussive symptoms for all groups.","mood, attention, etc. --> No diff on mood and anxiety etc. PCS and inattention scores higher in concussion (significant for multiple concussion group)",decreased anterior DMN connectivity may continue well beyond injury,,,DF
,,,No significant differences in posterior DMN,,,,Chronic (>6 months),,,,,,,,,,,,,,,,,,,,,,,,,
17,17,Slobonouv (2011),No significant difference in precuneus network (DMN),SPORTS asymptomatic sports-related mTBI patients,Mild,"ADULT n = 17, mean age 20.8 ± 1.7 years (65% male)",Subacute (10 ± 2 days),CSX,"NON-CONTACT n = 17, mean age 21.3 ±1.5 yrs","3.0 Tesla Siemens Trio whole-body scanner (Siemens, Erlangen, Germany)",unfound,2000 ms,364 s,364,182,"SPM8, CONN",no,no,yes,yes,,"realignment, co-registration, segmentation, normalization, band filtering, motion-correction, registration with structirual images, normalization to MNI space. Finally band-pass filtered to 0.01-0.1 Hz",SPM8 and CONN toolbox,FC,"seed-based (seeds in right DL-PRF, bilateral precuneus, bilaterial primary visual cortex, and bilateral hippocampus)","hippocampal, visual, DL-PFC, and precuneus networks","interhemispheric connectivity was significantly reduced in the primary visual cortex, hippocampal and dorsolateral prefrontal cortex networks (p < 0.05).  (tons more details included in results section)",n/a - all patients asymptomatic at time of scanning. YMCA physical stress test followed by fMRI also performed.,,,,DF
51,55,Santhanam 2019,Increased connectivity in DMN,Military,Mild,Adult,Chronic,CSX,HC,,unfound,2000 ms,360 s,360,180,FSL,unfound,unfound,unfound,unfound,,,,,,,,,,,,
14,12,Roy (2017),No diff within DMN Left Frontal DMN increased conn in TBI -> didn’t survive FDR,Civilian,Moderate/ Severe,ADULT,Subacute/ Chronic (~3 mo),CSX,HC,Philips Achieva 3T or Siemens Magnetom Trio 3T (x2),unfound,2000 ms,300 s,300,150,SPM8,no,yes,yes,yes,unspecified,SPM8 (Also Atlas: Power's 264),ROI to ROI (also graph but for diff. results),,,,,,,,,
,,,•No diff within DMN Right Frontal DMN increased conn in TBI  -> didn’t survive FDR,Civilian,Moderate/ Severe,ADULT,Subacute/ Chronic (~3 mo),CSX,HC,Philips Achieva 3T or Siemens Magnetom Trio 3T (x2),,,,,,,,,,,unspecified,SPM8 (Also Atlas: Power's 264),ROI to ROI,,,,,,,,,
,,,•Increase within DMN (Left Frontal DMN increased conn in TBI),Civilian,Moderate/ Severe,ADULT,Chronic (~6 mo),CSX,HC,Philips Achieva 3T or Siemens Magnetom Trio 3T (x2),,,,,,,,,,,unspecified,SPM8 (Also Atlas: Power's 264),ROI to ROI,,,,,,,,,
,,,•No diff within DMN (Right Frontal DMN increased conn in TBI -> didn’t survive FDR),Civilian,Moderate/ Severe,ADULT,Chronic (~6 mo),CSX,HC,Philips Achieva 3T or Siemens Magnetom Trio 3T (x2),,,,,,,,,,,unspecified,SPM8 (Also Atlas: Power's 264),ROI to ROI,,,,,,,,,
,,,•No diff within DMN Left Frontal DMN decreased in TBI -> didn’t survive FDR,Civilian,Moderate/ Severe,ADULT,Chronic (~12 mo),CSX,HC,Philips Achieva 3T or Siemens Magnetom Trio 3T (x2),,,,,,,,,,,unspecified,SPM8 (Also Atlas: Power's 264),ROI to ROI,,,,,,,,,
13,13,"Newsome #2 (2016) Houston, TX",No diff in medial prefrontal cortex (WITHIN DMN),SPORTS,Mild,Adolescent,Subacute,,ISC,3.0 Tesla Siemens Trio,unfound,2030 ms,245 volumes,unfound,245,SPM8,no,yes,yes,yes,,SPM8,Seed-based,,,,,,,,,
,,,No diff in left lateral parietal lobe (WITHIN DMN),SPORTS,Mild,Adolescent,Subacute,,ISC,3.0 Tesla Siemens Trio,,,,,,,,,,,,SPM8,Seed-based,,,,,,,,,
,,,Increased FC between right lateral parietal lobe and L middle temporal gyrus (WITHIN DMN),SPORTS,Mild,Adolescent,Subacute,,ISC,3.0 Tesla Siemens Trio,,,,,,,,,,,,SPM8,Seed-based,,,,,,,,,
,,,"Increased FC between right lateral parietal lobe and R middle temporal gyrus, R superior temporal gyrus (WITHIN DMN)",SPORTS,Mild,Adolescent,Subacute,,ISC,3.0 Tesla Siemens Trio,,,,,,,,,,,,SPM8,Seed-based,,,,,,,,,
,,,Increased FC between right lateral parietal lobe and L superior temporal gyrus (WITHIN DMN),SPORTS,Mild,Adolescent,Subacute,,ISC,3.0 Tesla Siemens Trio,,,,,,,,,,,,SPM8,Seed-based,,,,,,,,,
